City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,kuta,-8.7233,115.1723,26.97,94,75,7.72,ID,1739330808
289,sortavala,61.7053,30.6918,-3.68,91,12,4.22,RU,1739330809
290,vila franca do campo,37.7167,-25.4333,18.27,99,100,5.83,PT,1739330810
291,kourou,5.1552,-52.6478,24.09,94,100,4.24,GF,1739330813
292,fale old settlement,-9.3852,-171.2468,28.48,70,92,7.01,TK,1739330814
293,danjiangkou,32.5428,111.5086,7.78,25,100,6.86,CN,1739330815
294,banfora,10.6333,-4.7667,25.97,19,1,2.03,BF,1739330816
295,eirunepe,-6.6603,-69.8736,22.52,99,100,1.07,BR,1739330817
296,baise city,23.8997,106.6133,18.24,78,98,1.16,CN,1739330818
297,kavieng,-2.5744,150.7967,29.12,69,1,5.52,PG,1739330819
298,aykol,38.1751,77.2132,-2.39,39,100,2.65,CN,1739330821
299,lashio,22.9333,97.75,20.31,31,0,0.63,MM,1739330822
300,kapa'a,22.0752,-159.319,25.18,84,0,3.09,US,1739330634
301,tura,25.5198,90.2201,22.13,33,0,1.81,IN,1739330532
302,daura,11.5538,11.4085,18.98,21,0,4.38,NG,1739330826
303,matoury,4.8483,-52.3317,23.98,94,75,3.6,GF,1739330827
304,birzebbuga,35.8258,14.5269,10.38,100,20,0.51,MT,1739330828
305,chenaran,36.6455,59.1212,-2.01,56,0,2.43,IR,1739330830
306,shanyang,26.6702,119.2051,20.52,51,35,3.85,CN,1739330831
307,luba,3.4568,8.5547,27.16,87,100,3.33,GQ,1739330832
308,tingo maria,-9.2895,-76.0088,21.24,99,100,0.39,PE,1739330833
309,tsiombe,-25.3,45.4833,24.08,93,97,2.26,MG,1739330834
310,lubango,-14.9172,13.4925,16.22,96,100,0.1,AO,1739330835
311,dhuwaran,22.2333,72.8,21.32,55,1,2.37,IN,1739330836
312,viedma,-40.8135,-62.9967,14.18,37,13,3.43,AR,1739330837
313,antofagasta,-23.65,-70.4,22.6,84,54,0.81,CL,1739330694
314,kloulklubed,7.0419,134.2556,27.89,83,99,10.1,PW,1739330840
315,fisterra,42.9049,-9.2629,12.84,74,49,6.5,ES,1739330841
316,bamnet narong,15.4992,101.6897,27.08,51,60,2.1,TH,1739330842
317,gornopravdinsk,60.05,69.9,-7.01,93,100,5.43,RU,1739330843
318,klyuchi,52.2667,79.1667,-11.96,97,100,3.71,RU,1739330844
319,weno,7.4515,151.8468,30.97,79,75,5.14,FM,1739330845
320,upata,8.0086,-62.3989,21.19,85,41,2.54,VE,1739330688
321,moab,38.5733,-109.5498,3.67,30,99,1.34,US,1739330850
322,laguna,38.421,-121.4238,8.39,58,0,2.06,US,1739330851
323,neem ka thana,27.7333,75.8,16.95,33,0,2.03,IN,1739330852
324,pisco,-13.7,-76.2167,24.45,83,0,5.66,PE,1739330853
325,hafar al-batin,28.4328,45.9708,10.32,81,75,6.17,SA,1739330854
326,kampokpok,11.2962,124.405,26.33,81,100,3.48,PH,1739330855
327,malanje,-9.5402,16.341,16.92,95,100,1.32,AO,1739330856
328,mahina,-17.5065,-149.489,29.87,66,75,2.57,PF,1739330859
329,bako,5.7833,36.5667,19.63,49,99,2.0,ET,1739330860
330,brisas de zicatela,15.8369,-97.0419,26.03,79,0,3.36,MX,1739330861
331,mogok,22.9167,96.5,20.38,22,0,0.91,MM,1739330862
332,walvis bay,-22.9575,14.5053,17.88,86,100,1.29,NA,1739330863
333,crane,31.3974,-102.3501,13.41,69,99,8.47,US,1739330864
